20190406 070833.202|20190428 093519.394|5|en.wikipedia.org|Wikipedia:Sandbox?action=edit
20190428 093422.189|20190428 093422.189|1|en.wikisource.org|Index:Japanese_Wood_Engravings.djvu
20190428 093353.425|20190428 093353.425|1|en.wikisource.org|Page:Portland,_Oregon,_its_History_and_Builders_volume_1.djvu/19?action=edit
20190428 093316.436|20190428 093316.436|1|en.wikisource.org|Page:Portland,_Oregon,_its_History_and_Builders_volume_1.djvu/19
20190428 093316.220|20190428 093316.220|1|it.wikipedia.org|Henry_Cavendish?action=html
20190412 083636.140|20190428 093313.366|6|it.wikipedia.org|Modulo:Portale
20190428 093312.004|20190428 093312.004|1|en.wikibooks.org|Algorithms/Divide_and_Conquer
20190428 093310.762|20190428 093310.762|1|en.wikipedia.org|Module:Random_slideshow?action=edit
20190405 083146.298|20190428 093310.265|5|home|Special:XowaCfg?grp=xowa.html.tidy
20190428 093310.136|20190428 093310.136|1|fr.wikipedia.org|Aide:Bac_à_sable?action=edit
20190403 083001.791|20190428 093308.882|6|fr.wikipedia.org|Mykonos?action=edit
20190423 085958.820|20190423 085958.820|1|en.wikisource.org|Page:Portland,_Oregon,_its_History_and_Builders_volume_1.djvu/19
20190423 085933.741|20190423 085933.741|1|en.wikisource.org|Page:Portland,_Oregon,_its_History_and_Builders_volume_1.djvu/19?action=edit
20190423 081202.481|20190423 085745.357|2|en.wikisource.org|Index:Portland,_Oregon,_its_History_and_Builders_volume_1.djvu?action=edit
20190412 085409.901|20190423 085744.684|2|it.wikipedia.org|Henry_Cavendish?action=html
20190412 080838.610|20190423 085726.493|2|en.wikibooks.org|Algorithms/Divide_and_Conquer
20190406 072533.732|20190423 085725.391|6|en.wikipedia.org|Module:Random_slideshow?action=edit
20190403 161905.226|20190423 085724.970|4|fr.wikipedia.org|Aide:Bac_à_sable?action=edit
20190422 092605.372|20190422 092605.372|1|en.wikisource.org|Index:Portland,_Oregon,_its_History_and_Builders_volume_1.djvu
20190422 090302.882|20190422 090343.268|2|en.wikisource.org|Page:Portland,_Oregon,_its_History_and_Builders_volume_1.djvu/17
20190422 090315.462|20190422 090315.462|1|en.wikisource.org|Page:Portland,_Oregon,_its_History_and_Builders_volume_1.djvu/17?action=edit
20190421 095132.828|20190422 071855.452|3|en.wikisource.org|Three_Villages/2_Shirley
20190421 095211.700|20190421 095553.772|2|en.wikisource.org|Three_Villages/2_Shirley?action=edit
20190412 084822.410|20190412 085408.470|2|it.wikipedia.org|Henry_Cavendish
20190412 084636.253|20190412 085210.263|3|it.wikipedia.org|Modulo:Portale?action=edit
20190412 084825.741|20190412 084825.741|1|it.wikipedia.org|Henry_Cavendish?action=edit
20190411 074829.511|20190411 092927.517|6|en.wikibooks.org|Algorithms
20190411 074809.525|20190411 092907.449|6|en.wikibooks.org|Algorithms?action=edit
20180902 130400.234|20190411 074605.813|20|home|Main_Page
20190406 080831.718|20190411 074605.453|2|en.wikipedia.org|Template:Random_slideshow/styles.css
20190405 081131.852|20190411 074604.027|3|en.wikipedia.org|Special:XowaSystemData?type=log_session
20190406 084804.411|20190411 074603.891|2|en.wikipedia.org|Portal:European_Union?action=edit
20190403 082605.084|20190411 074334.185|22|fr.wikipedia.org|Module:Coordinates
20190406 072530.107|20190406 080042.959|4|en.wikipedia.org|Module:Random_slideshow
20190406 071221.790|20190406 071221.790|1|en.wikipedia.org|Wikipedia:Sandbox?action=html
20190405 075412.413|20190405 095803.703|2|en.wikipedia.org|Portal:European_Union?action=html
20190405 074651.036|20190405 095504.629|3|en.wikipedia.org|Portal:European_Union
20190403 082609.286|20190403 170605.393|18|fr.wikipedia.org|Module:Coordinates?action=edit
20190403 161902.032|20190403 161902.032|1|fr.wikipedia.org|Aide:Bac_à_sable
20190403 082938.696|20190403 125418.205|2|fr.wikipedia.org|Mykonos
20180918 140910.824|20190403 122430.790|3|home|Special:XowaBookmarks
20190403 082406.988|20190403 121829.516|2|fr.wikipedia.org|Wikipédia:Accueil_principal
20190327 144331.332|20190403 082237.954|10|fr.wikipedia.org|Module:Databox?action=edit
20190327 141647.407|20190403 082237.705|2|www.wikidata.org|Q2134417
20190327 141418.749|20190403 082237.244|2|www.wikidata.org|Q28733379
20190327 141238.824|20190403 082233.873|2|www.wikidata.org|Q3374107
20190327 114654.978|20190403 082232.942|3|www.wikidata.org|Q212
20190327 144132.299|20190403 082213.657|3|fr.wikipedia.org|Trésor_des_Chartes?action=edit
20190327 090447.136|20190403 082212.205|18|fr.wikipedia.org|Module:Cycling_race?action=edit
20190323 153143.291|20190403 082211.781|6|www.wikidata.org|Q25548846
20190323 153916.649|20190403 082210.245|6|en.wikipedia.org|Template:IndiaRailInfo
20190214 101107.860|20190403 082208.403|8|en.wikipedia.org|42-01
20190116 165044.185|20190403 082203.436|25|en.wikipedia.org|Calreticulin
20190116 164756.982|20190403 082156.183|32|en.wikipedia.org|Module:Infobox_gene
20190327 144325.775|20190327 145810.211|9|fr.wikipedia.org|Module:Databox
20190327 144116.267|20190327 144144.660|2|fr.wikipedia.org|Trésor_des_Chartes
20190327 143635.394|20190327 143656.152|2|fr.wikipedia.org|Équipe_cycliste_D'Amico-UM_Tools
20190327 143640.293|20190327 143640.293|1|fr.wikipedia.org|Équipe_cycliste_D'Amico-UM_Tools?action=edit
20190327 090055.769|20190327 141125.227|17|fr.wikipedia.org|Module:Cycling_race
20190327 140405.645|20190327 140405.645|1|www.wikidata.org|Q1054259
20190327 135329.098|20190327 135329.098|1|www.wikidata.org|Q28733240
20190327 134057.426|20190327 134057.426|1|fr.wikipedia.org|Équipe_cycliste_Aviludo-Louletano?action=edit
